district,Crime Type,year,Total Crime
Abbottabad,MURDER,2012,73
Abbottabad,MURDER,2013,67
Abbottabad,MURDER,2014,68
Abbottabad,MURDER,2015,60
Abbottabad,MURDER,2016,63
Abbottabad,MURDER,2017,56
Abbottabad,MURDER,2018,52
Abbottabad,MURDER,2020,69
Abbottabad,Kidnapping Ransom,2012,16
Abbottabad,Kidnapping Ransom,2013,36
Abbottabad,Kidnapping Ransom,2014,45
Abbottabad,Child Lifting,2012,55
Abbottabad,Child Lifting,2013,43
Abbottabad,Child Lifting,2014,4
Abbottabad,Child Lifting,2015,2
Abbottabad,Child Lifting,2017,33
Abbottabad,Child Lifting,2018,4
Abbottabad,Child Lifting,2022,5
Abbottabad,Motor Car Theft,2012,10
Abbottabad,Motor Car Theft,2013,9
Abbottabad,Motor Car Theft,2014,4
Abbottabad,Motor Car Theft,2015,5
Abbottabad,Motor Car Theft,2016,8
Abbottabad,Motor Car Theft,2017,5
Abbottabad,Motor Car Theft,2018,7
Abbottabad,Motor Car Theft,2020,8
Abbottabad,Motor Car Theft,2022,19
Abbottabad,Car Snatching,2012,33
Abbottabad,Car Snatching,2013,11
Abbottabad,Car Snatching,2014,22
Abbottabad,Car Snatching,2017,2
Abbottabad,Motor Cycle Theft,2012,3
Abbottabad,Motor Cycle Theft,2013,7
Abbottabad,Motor Cycle Theft,2014,4
Abbottabad,Motor Cycle Theft,2015,4
Abbottabad,Motor Cycle Theft,2016,11
Abbottabad,Motor Cycle Theft,2017,10
Abbottabad,Motor Cycle Theft,2018,19
Abbottabad,Motor Cycle Theft,2020,21
Abbottabad,Motor Cycle Theft,2022,49
Bajaur,Motor Car Theft,2022,22
Bajaur,Car Snatching,2022,24
Bajaur,Motor Cycle Theft,2022,18
Bannu,MURDER,2012,170
Bannu,MURDER,2013,208
Bannu,MURDER,2014,272
Bannu,MURDER,2015,221
Bannu,MURDER,2016,213
Bannu,MURDER,2017,197
Bannu,MURDER,2018,149
Bannu,MURDER,2020,201
Bannu,Kidnapping Ransom,2012,22
Bannu,Kidnapping Ransom,2014,6
Bannu,Kidnapping Ransom,2015,14
Bannu,Kidnapping Ransom,2018,11
Bannu,Kidnapping Ransom,2022,25
Bannu,Child Lifting,2012,4
Bannu,Child Lifting,2013,2
Bannu,Child Lifting,2014,2
Bannu,Child Lifting,2015,2
Bannu,Child Lifting,2016,4
Bannu,Child Lifting,2017,1
Bannu,Child Lifting,2022,2
Bannu,Motor Car Theft,2012,1
Bannu,Motor Car Theft,2013,2
Bannu,Motor Car Theft,2014,10
Bannu,Motor Car Theft,2015,4
Bannu,Motor Car Theft,2016,2
Bannu,Motor Car Theft,2018,3
Bannu,Motor Car Theft,2020,9
Bannu,Motor Car Theft,2022,2
Bannu,Car Snatching,2013,1
Bannu,Car Snatching,2014,4
Bannu,Car Snatching,2015,1
Bannu,Car Snatching,2016,2
Bannu,Car Snatching,2018,2
Bannu,Car Snatching,2020,1
Bannu,Car Snatching,2022,4
Bannu,Motor Cycle Theft,2012,12
Bannu,Motor Cycle Theft,2013,29
Bannu,Motor Cycle Theft,2014,96
Bannu,Motor Cycle Theft,2015,76
Bannu,Motor Cycle Theft,2016,45
Bannu,Motor Cycle Theft,2017,32
Bannu,Motor Cycle Theft,2018,40
Bannu,Motor Cycle Theft,2020,45
Bannu,Motor Cycle Theft,2022,71
Battagram,MURDER,2012,26
Battagram,MURDER,2013,35
Battagram,MURDER,2014,32
Battagram,MURDER,2015,34
Battagram,MURDER,2016,30
Battagram,MURDER,2017,16
Battagram,MURDER,2018,35
Battagram,MURDER,2020,24
Battagram,Kidnapping Ransom,2013,1
Battagram,Child Lifting,2022,1
Battagram,Motor Car Theft,2018,1
Battagram,Motor Car Theft,2020,3
Battagram,Motor Car Theft,2022,4
Battagram,Car Snatching,2013,1
Battagram,Car Snatching,2017,1
Battagram,Motor Cycle Theft,2012,1
Battagram,Motor Cycle Theft,2014,1
Battagram,Motor Cycle Theft,2016,2
Battagram,Motor Cycle Theft,2018,5
Battagram,Motor Cycle Theft,2022,8
Buner,MURDER,2012,47
Buner,MURDER,2013,60
Buner,MURDER,2014,58
Buner,MURDER,2015,55
Buner,MURDER,2016,50
Buner,MURDER,2017,52
Buner,MURDER,2018,48
Buner,MURDER,2020,46
Buner,Kidnapping Ransom,2016,1
Buner,Motor Car Theft,2012,1
Buner,Motor Car Theft,2013,1
Buner,Motor Car Theft,2015,2
Buner,Motor Car Theft,2018,10
Buner,Motor Car Theft,2020,2
Buner,Motor Car Theft,2022,1
Buner,Car Snatching,2013,1
Buner,Car Snatching,2015,1
Buner,Motor Cycle Theft,2012,1
Buner,Motor Cycle Theft,2013,5
Buner,Motor Cycle Theft,2014,3
Buner,Motor Cycle Theft,2015,4
Buner,Motor Cycle Theft,2016,8
Buner,Motor Cycle Theft,2017,2
Buner,Motor Cycle Theft,2018,26
Buner,Motor Cycle Theft,2020,18
Buner,Motor Cycle Theft,2022,27
Charsadda,MURDER,2012,234
Charsadda,MURDER,2013,222
Charsadda,MURDER,2014,250
Charsadda,MURDER,2015,220
Charsadda,MURDER,2016,192
Charsadda,MURDER,2017,164
Charsadda,MURDER,2018,167
Charsadda,MURDER,2020,154
Charsadda,Kidnapping Ransom,2012,4
Charsadda,Kidnapping Ransom,2013,2
Charsadda,Kidnapping Ransom,2014,6
Charsadda,Kidnapping Ransom,2015,1
Charsadda,Kidnapping Ransom,2016,1
Charsadda,Kidnapping Ransom,2017,1
Charsadda,Kidnapping Ransom,2022,3
Charsadda,Child Lifting,2012,1
Karak,Kidnapping Ransom,2016,1
Karak,Kidnapping Ransom,2017,2
Karak,Motor Car Theft,2013,2
Karak,Motor Car Theft,2014,2
Karak,Motor Car Theft,2015,1
Karak,Motor Car Theft,2016,3
Karak,Motor Car Theft,2018,1
Karak,Motor Car Theft,2020,1
Karak,Car Snatching,2012,3
Karak,Car Snatching,2013,1
Karak,Car Snatching,2014,3
Karak,Car Snatching,2015,1
Karak,Car Snatching,2018,4
Karak,Car Snatching,2020,1
Karak,Car Snatching,2022,2
Karak,Motor Cycle Theft,2012,5
Karak,Motor Cycle Theft,2013,9
Karak,Motor Cycle Theft,2014,16
Karak,Motor Cycle Theft,2015,18
Karak,Motor Cycle Theft,2016,4
Karak,Motor Cycle Theft,2017,14
Karak,Motor Cycle Theft,2018,19
Karak,Motor Cycle Theft,2020,12
Karak,Motor Cycle Theft,2022,16
Khyber,Child Lifting,2022,4
Khyber,Motor Car Theft,2022,8
Khyber,Car Snatching,2022,6
Khyber,Motor Cycle Theft,2022,17
Kohat,MURDER,2012,148
Kohat,MURDER,2013,160
Kohat,MURDER,2014,146
Kohat,MURDER,2015,134
Kohat,MURDER,2016,124
Kohat,MURDER,2017,118
Kohat,MURDER,2018,105
Kohat,MURDER,2020,139
Kohat,Kidnapping Ransom,2012,6
Kohat,Kidnapping Ransom,2013,3
Kohat,Kidnapping Ransom,2014,6
Kohat,Kidnapping Ransom,2015,2
Kohat,Kidnapping Ransom,2016,4
Kohat,Kidnapping Ransom,2017,1
Kohat,Kidnapping Ransom,2022,3
Kohat,Child Lifting,2014,1
Kohat,Child Lifting,2015,2
Kohat,Child Lifting,2016,2
Kohat,Child Lifting,2017,2
Kohat,Child Lifting,2018,2
Kohat,Child Lifting,2022,3
Kohat,Motor Car Theft,2012,2
Kohat,Motor Car Theft,2013,8
Kohat,Motor Car Theft,2014,1
Kohat,Motor Car Theft,2015,2
Kohat,Motor Car Theft,2016,2
Kohat,Motor Car Theft,2018,3
Kohat,Motor Car Theft,2020,3
Kohat,Motor Car Theft,2022,3
Kohat,Car Snatching,2012,5
Kohat,Car Snatching,2013,6
Kohat,Car Snatching,2014,2
Kohat,Car Snatching,2015,3
Kohat,Car Snatching,2016,4
Kohat,Car Snatching,2018,1
Kohat,Car Snatching,2020,1
Kohat,Car Snatching,2022,1
Kohat,Motor Cycle Theft,2012,7
Kohat,Motor Cycle Theft,2013,10
Kohat,Motor Cycle Theft,2014,14
Kohat,Motor Cycle Theft,2015,24
Kohat,Motor Cycle Theft,2016,26
Kohat,Motor Cycle Theft,2017,24
Kohat,Motor Cycle Theft,2018,29
Kohat,Motor Cycle Theft,2020,28
Kohat,Motor Cycle Theft,2022,35
Kohistan,MURDER,2012,37
Kohistan,MURDER,2013,55
Kohistan,MURDER,2014,34
Kohistan,MURDER,2015,33
Kohistan,MURDER,2016,37
Kohistan,MURDER,2017,37
Kohistan,MURDER,2018,48
Kohistan,MURDER,2020,34
Kohistan,Child Lifting,2017,1
Kohistan,Motor Car Theft,2012,1
Kohistan,Motor Car Theft,2014,1
Kohistan,Motor Car Theft,2016,1
Kohistan,Motor Cycle Theft,2012,1
Kohistan,Motor Cycle Theft,2014,3
Kohistan,Motor Cycle Theft,2016,3
Kohistan,Motor Cycle Theft,2017,3
Kohistan,Motor Cycle Theft,2018,4
Kohistan,Motor Cycle Theft,2020,1
Kohistan Kolai Palas,Motor Cycle Theft,2022,3
Kohistan Lower,Motor Cycle Theft,2022,1
Kurram,Motor Car Theft,2022,6
Kurram,Car Snatching,2022,1
Kurram,Motor Cycle Theft,2022,6
Lakki Marwat,MURDER,2012,109
Lakki Marwat,MURDER,2013,127
Lakki Marwat,MURDER,2014,164
Lakki Marwat,MURDER,2015,150
Lakki Marwat,MURDER,2016,153
Lakki Marwat,MURDER,2017,146
Lakki Marwat,MURDER,2018,148
Lakki Marwat,MURDER,2020,144
Lakki Marwat,Kidnapping Ransom,2013,1
Lakki Marwat,Child Lifting,2012,1
Lakki Marwat,Child Lifting,2013,3
Lakki Marwat,Child Lifting,2014,3
Lakki Marwat,Child Lifting,2015,1
Lakki Marwat,Child Lifting,2016,2
Lakki Marwat,Child Lifting,2017,1
Lakki Marwat,Child Lifting,2018,2
Lakki Marwat,Child Lifting,2020,1
Lakki Marwat,Child Lifting,2022,1
Lakki Marwat,Motor Car Theft,2015,2
Lakki Marwat,Motor Car Theft,2016,1
Lakki Marwat,Motor Car Theft,2018,3
Lakki Marwat,Motor Car Theft,2020,4
Lakki Marwat,Motor Car Theft,2022,4
Lakki Marwat,Car Snatching,2012,4
Lakki Marwat,Car Snatching,2014,2
Lakki Marwat,Car Snatching,2015,2
Lakki Marwat,Car Snatching,2016,1
Lakki Marwat,Motor Cycle Theft,2012,7
Lakki Marwat,Motor Cycle Theft,2013,4
Lakki Marwat,Motor Cycle Theft,2014,14
Lakki Marwat,Motor Cycle Theft,2015,23
Lakki Marwat,Motor Cycle Theft,2016,7
Lakki Marwat,Motor Cycle Theft,2017,8
Lakki Marwat,Motor Cycle Theft,2018,16
Lakki Marwat,Motor Cycle Theft,2020,14
Lakki Marwat,Motor Cycle Theft,2022,11
Mansehra,MURDER,2012,88
Mansehra,MURDER,2013,135
Mansehra,MURDER,2014,119
Mansehra,MURDER,2015,95
Mansehra,MURDER,2016,91
Mansehra,MURDER,2017,76
Mansehra,MURDER,2018,96
Mansehra,MURDER,2020,89
Mansehra,Kidnapping Ransom,2012,2
Mansehra,Kidnapping Ransom,2013,1
Mansehra,Kidnapping Ransom,2014,1
Mansehra,Kidnapping Ransom,2015,1
Mansehra,Child Lifting,2014,2
Mansehra,Child Lifting,2015,1
Mansehra,Child Lifting,2016,4
Mansehra,Child Lifting,2017,4
Mansehra,Child Lifting,2018,6
Mansehra,Child Lifting,2022,7
Mansehra,Motor Car Theft,2012,5
Mansehra,Motor Car Theft,2013,10
Mansehra,Motor Car Theft,2014,7
Mansehra,Motor Car Theft,2015,5
Mansehra,Motor Car Theft,2016,16
Mansehra,Motor Car Theft,2017,8
Mansehra,Motor Car Theft,2018,9
Mansehra,Motor Car Theft,2020,13
Mansehra,Motor Car Theft,2022,18
Mansehra,Car Snatching,2012,2
Mansehra,Car Snatching,2013,3
Mansehra,Car Snatching,2014,1
Mansehra,Car Snatching,2015,1
Mansehra,Motor Cycle Theft,2012,2
Mansehra,Motor Cycle Theft,2013,2
Mansehra,Motor Cycle Theft,2014,1
Mansehra,Motor Cycle Theft,2015,9
Mansehra,Motor Cycle Theft,2016,17
Mansehra,Motor Cycle Theft,2017,11
Mansehra,Motor Cycle Theft,2018,6
Mansehra,Motor Cycle Theft,2020,15
Mansehra,Motor Cycle Theft,2022,35
Mardan,MURDER,2012,326
Mardan,MURDER,2013,332
Mardan,MURDER,2014,327
Mardan,MURDER,2015,236
Mardan,MURDER,2016,223
Mardan,MURDER,2017,226
Mardan,MURDER,2018,232
Mardan,MURDER,2020,188
Mardan,Kidnapping Ransom,2012,7
Mardan,Kidnapping Ransom,2013,6
Mardan,Kidnapping Ransom,2014,6
Mardan,Kidnapping Ransom,2015,4
Mardan,Kidnapping Ransom,2016,2
Mardan,Kidnapping Ransom,2017,1
Mardan,Kidnapping Ransom,2022,1
Mardan,Child Lifting,2012,1
Mardan,Child Lifting,2013,3
Mardan,Child Lifting,2014,3
Mardan,Child Lifting,2015,5
Mardan,Child Lifting,2016,2
Mardan,Child Lifting,2017,4
Mardan,Child Lifting,2018,4
Mardan,Child Lifting,2022,8
Mardan,Motor Car Theft,2012,21
Mardan,Motor Car Theft,2013,31
Mardan,Motor Car Theft,2014,29
Mardan,Motor Car Theft,2015,37
Mardan,Motor Car Theft,2016,22
Mardan,Motor Car Theft,2017,17
Mardan,Motor Car Theft,2018,15
Mardan,Motor Car Theft,2020,21
Mardan,Motor Car Theft,2022,17
Mardan,Car Snatching,2012,9
Mardan,Car Snatching,2013,8
Mardan,Car Snatching,2014,5
Mardan,Car Snatching,2015,6
Mardan,Car Snatching,2016,6
Mardan,Car Snatching,2017,7
Mardan,Car Snatching,2018,1
Mardan,Car Snatching,2020,2
Mardan,Motor Cycle Theft,2012,15
Mardan,Motor Cycle Theft,2013,27
Mardan,Motor Cycle Theft,2014,32
Mardan,Motor Cycle Theft,2015,98
Mardan,Motor Cycle Theft,2016,64
Mardan,Motor Cycle Theft,2017,43
Mardan,Motor Cycle Theft,2018,70
Mardan,Motor Cycle Theft,2020,37
Mardan,Motor Cycle Theft,2022,90
Mohmand,Motor Car Theft,2022,1
Mohmand,Motor Cycle Theft,2022,2
North Waziristan,Kidnapping Ransom,2022,2
North Waziristan,Motor Car Theft,2022,4
North Waziristan,Motor Cycle Theft,2022,7
Tank,Motor Car Theft,2018,1
Tank,Car Snatching,2014,1
Tank,Car Snatching,2017,1
Tank,Car Snatching,2022,1
Tank,Motor Cycle Theft,2012,1
Tank,Motor Cycle Theft,2013,5
Tank,Motor Cycle Theft,2014,2
Tank,Motor Cycle Theft,2015,5
Tank,Motor Cycle Theft,2016,14
Tank,Motor Cycle Theft,2017,4
Tank,Motor Cycle Theft,2018,8
Tank,Motor Cycle Theft,2022,18
Torghar,MURDER,2012,14
Torghar,MURDER,2013,13
Torghar,MURDER,2014,7
Torghar,MURDER,2015,6
Torghar,MURDER,2016,3
Torghar,MURDER,2017,5
Torghar,MURDER,2018,7
Torghar,MURDER,2020,7
Charsadda,Child Lifting,2013,2
Charsadda,Child Lifting,2014,5
Charsadda,Child Lifting,2015,4
Charsadda,Child Lifting,2017,1
Charsadda,Child Lifting,2018,2
Charsadda,Child Lifting,2022,5
Charsadda,Motor Car Theft,2012,14
Charsadda,Motor Car Theft,2013,10
Charsadda,Motor Car Theft,2014,6
Charsadda,Motor Car Theft,2015,14
Charsadda,Motor Car Theft,2016,14
Charsadda,Motor Car Theft,2017,7
Charsadda,Motor Car Theft,2018,4
Charsadda,Motor Car Theft,2020,11
Charsadda,Motor Car Theft,2022,7
Charsadda,Car Snatching,2012,3
Charsadda,Car Snatching,2013,6
Charsadda,Car Snatching,2014,3
Charsadda,Car Snatching,2015,10
Charsadda,Car Snatching,2016,3
Charsadda,Car Snatching,2017,1
Charsadda,Car Snatching,2018,5
Charsadda,Car Snatching,2020,3
Charsadda,Car Snatching,2022,1
Charsadda,Motor Cycle Theft,2012,8
Charsadda,Motor Cycle Theft,2013,15
